Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2026-03-05,Monterrey,Queretaro FC,4,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-04,Pumas U.N.A.M.,Toluca,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-04,Atletico San Luis,Mazatlan FC,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-04,Santos Laguna,CDSyC Cruz Azul,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-04,Pachuca,Necaxa,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-01,Monterrey,CDSyC Cruz Azul,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-01,Club Leon,Necaxa,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-03-01,Club America,Tigres UANL,1,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-28,Toluca,Chivas Guadalajara,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-28,Atletico San Luis,Puebla,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-28,Club Tijuana,Pumas U.N.A.M.,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-28,FC Juarez,Atlas,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-28,Queretaro FC,Santos Laguna,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-28,Mazatlan FC,Pachuca,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-22,Necaxa,Toluca,0,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-22,Club Leon,Santos Laguna,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-22,CDSyC Cruz Azul,Chivas Guadalajara,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-22,Pumas U.N.A.M.,Monterrey,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-22,Club Tijuana,Mazatlan FC,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-21,Atlas,Atletico San Luis,3,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-21,Puebla,Club America,0,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-21,Tigres UANL,Pachuca,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-15,Monterrey,Club Leon,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-15,Chivas Guadalajara,Club America,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-15,FC Juarez,Necaxa,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-15,CDSyC Cruz Azul,Tigres UANL,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-15,Santos Laguna,Mazatlan FC,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-14,Pachuca,Atlas,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-14,Atletico San Luis,Queretaro FC,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-14,Toluca,Club Tijuana,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-14,Puebla,Pumas U.N.A.M.,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-08,Club America,Monterrey,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-08,Pachuca,FC Juarez,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-08,Atlas,Pumas U.N.A.M.,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-07,Necaxa,Atletico San Luis,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-07,Club Tijuana,Puebla,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-07,Tigres UANL,Santos Laguna,5,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-07,Mazatlan FC,Chivas Guadalajara,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-07,Queretaro FC,Club Leon,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-07,Toluca,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-01,Queretaro FC,Pachuca,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-01,Club Leon,Tigres UANL,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-02-01,Monterrey,Club Tijuana,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-31,Pumas U.N.A.M.,Santos Laguna,4,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-31,Atletico San Luis,Chivas Guadalajara,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-31,Atlas,Mazatlan FC,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-31,Club America,Necaxa,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-31,FC Juarez,CDSyC Cruz Azul,3,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-31,Puebla,Toluca,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-19,Pachuca,Club America,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-18,Tigres UANL,Toluca,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-18,Santos Laguna,FC Juarez,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-18,Pumas U.N.A.M.,Club Leon,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-18,Club Tijuana,Atletico San Luis,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-18,CDSyC Cruz Azul,Puebla,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-17,Chivas Guadalajara,Queretaro FC,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-17,Mazatlan FC,Monterrey,1,5,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-17,Necaxa,Atlas,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-15,Toluca,Santos Laguna,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-15,Tigres UANL,Pumas U.N.A.M.,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-15,Queretaro FC,Club Tijuana,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-15,Club America,Atletico San Luis,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-14,CDSyC Cruz Azul,Atlas,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-14,FC Juarez,Chivas Guadalajara,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-14,Pachuca,Club Leon,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-14,Necaxa,Monterrey,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-13,Puebla,Mazatlan FC,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-12,Atletico San Luis,Tigres UANL,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-11,Pumas U.N.A.M.,Queretaro FC,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-11,Monterrey,Toluca,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-11,Santos Laguna,Necaxa,1,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-11,Club Leon,CDSyC Cruz Azul,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-10,Club Tijuana,Club America,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-10,Mazatlan FC,FC Juarez,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-10,Chivas Guadalajara,Pachuca,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-01-10,Atlas,Puebla,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-15,Toluca,Tigres UANL,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-12,Tigres UANL,Toluca,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-07,Tigres UANL,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-07,Toluca,Monterrey,3,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-04,Monterrey,Toluca,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-04,CDSyC Cruz Azul,Tigres UANL,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-12-01,CDSyC Cruz Azul,Chivas Guadalajara,3,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-30,Tigres UANL,Club Tijuana,5,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-30,Toluca,FC Juarez,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-29,Club America,Monterrey,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-28,Chivas Guadalajara,CDSyC Cruz Azul,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-27,FC Juarez,Toluca,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-27,Monterrey,Club America,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-27,Club Tijuana,Tigres UANL,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-24,FC Juarez,Pachuca,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-21,Club Tijuana,FC Juarez,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-21,Pachuca,Pumas U.N.A.M.,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-09,Santos Laguna,Pachuca,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-09,CDSyC Cruz Azul,Pumas U.N.A.M.,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-09,Toluca,Club America,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-09,Club Leon,Puebla,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-08,Mazatlan FC,Necaxa,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-08,FC Juarez,Queretaro FC,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-08,Club Tijuana,Atlas,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-08,Tigres UANL,Atletico San Luis,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-08,Chivas Guadalajara,Monterrey,4,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-03,Pachuca,Chivas Guadalajara,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-02,Queretaro FC,Mazatlan FC,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-02,Pumas U.N.A.M.,Club Tijuana,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-02,Club America,Club Leon,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-02,Monterrey,Tigres UANL,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-01,Puebla,CDSyC Cruz Azul,0,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-01,Atletico San Luis,FC Juarez,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-01,Necaxa,Santos Laguna,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-11-01,Atlas,Toluca,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-27,Toluca,Pachuca,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-27,Atletico San Luis,Necaxa,3,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-26,Santos Laguna,Queretaro FC,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-26,CDSyC Cruz Azul,Monterrey,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-26,Chivas Guadalajara,Atlas,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-26,Club Leon,Pumas U.N.A.M.,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-25,Tigres UANL,Club Tijuana,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-25,Mazatlan FC,Club America,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
