Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2025-11-29,SV Ried,Wolfsberger AC,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-23,Rapid Wien,Grazer AK,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-23,Sturm Graz,LASK Linz,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-23,Red Bull Salzburg,WSG Swarovski Tirol,2,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-22,TSV Hartberg,SV Ried,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-22,FC Blau Weiss Linz,Austria Wien,2,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-22,Rheindorf Altach,Wolfsberger AC,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-09,Sturm Graz,Red Bull Salzburg,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-09,WSG Swarovski Tirol,Rapid Wien,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-09,LASK Linz,Rheindorf Altach,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-08,Wolfsberger AC,TSV Hartberg,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-08,Austria Wien,Grazer AK,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-08,SV Ried,FC Blau Weiss Linz,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-02,Wolfsberger AC,WSG Swarovski Tirol,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-02,Red Bull Salzburg,SV Ried,4,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-02,Rapid Wien,Sturm Graz,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-01,TSV Hartberg,Austria Wien,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-01,Grazer AK,Rheindorf Altach,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-11-01,FC Blau Weiss Linz,LASK Linz,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-26,SV Ried,Rapid Wien,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-26,Austria Wien,Red Bull Salzburg,0,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-26,Sturm Graz,Wolfsberger AC,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-25,LASK Linz,Grazer AK,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-25,WSG Swarovski Tirol,FC Blau Weiss Linz,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-25,Rheindorf Altach,TSV Hartberg,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-19,Rapid Wien,LASK Linz,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-19,FC Blau Weiss Linz,Sturm Graz,3,4,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-19,Red Bull Salzburg,Rheindorf Altach,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-18,WSG Swarovski Tirol,Austria Wien,2,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-18,Grazer AK,TSV Hartberg,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-18,Wolfsberger AC,SV Ried,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-05,Rheindorf Altach,Sturm Graz,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-05,LASK Linz,TSV Hartberg,3,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-05,Red Bull Salzburg,Rapid Wien,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-04,Austria Wien,FC Blau Weiss Linz,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-04,Grazer AK,Wolfsberger AC,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-10-04,SV Ried,WSG Swarovski Tirol,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-28,Rapid Wien,Austria Wien,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-28,WSG Swarovski Tirol,Red Bull Salzburg,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-28,Sturm Graz,TSV Hartberg,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-27,Wolfsberger AC,LASK Linz,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-27,SV Ried,Grazer AK,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-27,FC Blau Weiss Linz,Rheindorf Altach,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-21,Rheindorf Altach,WSG Swarovski Tirol,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-21,LASK Linz,FC Blau Weiss Linz,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-21,Grazer AK,Rapid Wien,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-20,TSV Hartberg,Wolfsberger AC,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-20,Red Bull Salzburg,Sturm Graz,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-20,Austria Wien,SV Ried,3,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-14,Sturm Graz,Austria Wien,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-14,Rapid Wien,WSG Swarovski Tirol,4,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-14,SV Ried,TSV Hartberg,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-13,Wolfsberger AC,Red Bull Salzburg,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-13,FC Blau Weiss Linz,Grazer AK,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-09-13,Rheindorf Altach,LASK Linz,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-31,TSV Hartberg,Rapid Wien,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-31,Austria Wien,Rheindorf Altach,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-31,WSG Swarovski Tirol,Wolfsberger AC,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-30,Grazer AK,Sturm Graz,0,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-30,Red Bull Salzburg,FC Blau Weiss Linz,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-30,LASK Linz,SV Ried,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-24,Wolfsberger AC,Rapid Wien,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-24,Austria Wien,TSV Hartberg,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-24,Rheindorf Altach,Grazer AK,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-23,Red Bull Salzburg,LASK Linz,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-23,FC Blau Weiss Linz,SV Ried,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-17,Rapid Wien,Rheindorf Altach,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-17,LASK Linz,Austria Wien,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-17,Wolfsberger AC,FC Blau Weiss Linz,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-16,SV Ried,Sturm Graz,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-16,TSV Hartberg,Red Bull Salzburg,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-16,Grazer AK,WSG Swarovski Tirol,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-10,WSG Swarovski Tirol,LASK Linz,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-10,Sturm Graz,Rapid Wien,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-10,Austria Wien,Wolfsberger AC,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-09,Red Bull Salzburg,Grazer AK,5,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-09,FC Blau Weiss Linz,TSV Hartberg,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-09,Rheindorf Altach,SV Ried,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-03,Rapid Wien,FC Blau Weiss Linz,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-03,Grazer AK,Austria Wien,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-02,Wolfsberger AC,Rheindorf Altach,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-02,WSG Swarovski Tirol,TSV Hartberg,4,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-02,SV Ried,Red Bull Salzburg,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2025-08-01,LASK Linz,Sturm Graz,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
